,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
114,王雅安,男,汉族,01/10/1949,山西省,运城市,垣曲县,本科,01/07/1973,退休,,,,,,,,,,,,,,,,,
115,郭海亮,男,汉族,01/10/1951,山西省,吕梁市,岚县,硕士,01/09/1972,退休,,,,,,,,,,,,,,,,,
116,丁雪峰,男,汉族,01/09/1963,山西省,大同市,左云县,硕士,01/08/1986,立案查处,,否,贪污腐败,,否,20/02/2014,中纪委,是,,,,,,,,,
117,云公民,男,蒙古族,01/09/1950,内蒙古自治区,呼和浩特市,,本科,01/01/1979,退休,,,,,,,,,,,,,,,,,
118,申维辰,男,汉族,01/05/1956,山西省,长治市,潞城县,硕士,01/01/1979,立案查处,,是,贪污腐败,,否,12/04/2014,中纪委,是,,,,,,,,,
119,陈川平,男,汉族,01/02/1962,山西省,运城市,平陆县,硕士,01/03/1985,立案查处,,是,贪污腐败,,否,23/08/2014,中纪委,是,,,,,,,,,
120,廉毅敏,男,汉族,01/03/1964,山西省,晋中市,平遥县,博士,01/07/1984,在职,,,,,,,,,,,,,,,,,
121,耿彦波,男,汉族,01/11/1958,山西省,晋中市,和顺县,硕士,01/12/1981,在职,,,,,,,,,,,,,,,,,
122,吕德功,男,汉族,01/07/1948,山西省,太原市,娄烦县,硕士,01/02/1973,退休,,,,,,,,,,,,,,,,,
123,张怀文,男,汉族,01/11/1947,山西省,晋中市,榆社县,,,退休,,,,,,,,,,,,,,,,,
124,耿怀英,男,汉族,01/07/1950,山西省,晋中市,昔阳县,硕士,01/05/1968,退休,,,,,,,,,,,,,,,,,
125,李平社,男,汉族,01/12/1955,山西省,晋城市,阳城县,硕士,01/05/1978,退休,,,,,,,,,,,,,,,,,
126,郑连生,男,汉族,01/04/1965,山西省,长治市,潞城县,硕士,01/02/1985,在职,,,,,,,,,,,,,,,,,
127,张建欣,女,汉族,01/10/1955,河北省,石家庄市,无极县,硕士,01/06/1975,在职,,,,,,,,,,,,,,,,,
128,郭良孝,男,汉族,01/01/1952,山西省,吕梁市,孝义县,本科,01/03/1971,退休,,,,,,,,,,,,,,,,,
129,洪发科,男,汉族,01/10/1956,山西省,临汾市,曲沃县,硕士,01/01/1979,立案查处,,是,贪污腐败,,否,03/07/2015,山西省纪委,是,,,,,,,,,
130,程步云,男,汉族,01/11/1945,山西省,忻州市,河曲县,本科,01/09/1973,退休,,,,,,,,,,,,,,,,,
131,李栋梁,男,汉族,01/08/1958,山西省,大同市,左云县,硕士,01/05/1977,在职,,,,,,,,,,,,,,,,,
132,阎沁生,男,汉族,01/09/1948,山西省,长治市,沁县,专科,01/07/1971,退休,,,,,,,,,,,,,,,,,
133,冯改朵,女,汉族,01/08/1957,山西省,运城市,稷山县,硕士,01/09/1976,在职,,,,,,,,,,,,,,,,,
134,李正印,男,汉族,01/08/1962,山西省,长治市,武乡县,硕士,01/06/1984,在职,,,,,,,,,,,,,,,,,
135,高建民,男,汉族,01/11/1960,山西省,阳泉市,盂县,博士,01/12/1982,在职,,,,,,,,,,,,,,,,,
136,来玉龙,男,汉族,01/11/1945,山西省,朔州市,应县,本科,01/04/1966,退休,,,,,,,,,,,,,,,,,
137,丰立祥,男,汉族,01/08/1957,山西省,朔州市,山阴县,博士,01/09/1976,立案查处,,是,贪污腐败,,否,15/10/2014,山西省纪委,是,,,,,,,,,
138,孙辅智,男,汉族,01/01/1945,山西省,大同市,阳高县,本科,01/11/1973,退休,,,,,,,,,,,,,,,,,
139,李俊明,男,汉族,01/04/1960,山西省,忻州市,定襄县,硕士,01/11/1980,在职,,,,,,,,,,,,,,,,,
140,袁纯清,男,汉族,01/03/1952,湖南省,常德市,汉寿县,博士后,01/10/1971,在职,,,,,,,,,,,,,,,,,
141,王君,男,汉族,01/03/1952,山西省,大同市,,硕士,01/07/1977,在职,,,,,,,,,,,,,,,,,
142,汤涛,男,汉族,01/07/1962,湖北省,黄冈市,英山县,硕士,01/10/1984,在职,,,,,,,,,,,,,,,,,
143,李小鹏,男,汉族,01/06/1959,四川省,成都市,,本科,01/05/1985,在职,,,,,,,,,,,,,,,,,
144,金道铭,男,满族,01/12/1953,北京市,,,硕士,01/09/1975,立案查处,,是,贪污腐败,,否,27/02/2014,中纪委,是,受贿罪,人民币12373万元,24/02/2016,江苏省,镇江市,无期徒刑,否,,
145,王建明,男,汉族,01/12/1962,福建省,漳州市,,硕士,01/11/1983,在职,,,,,,,,,,,,,,,,,
146,田成平,男,汉族,01/01/1945,河北省,邯郸市,大名县,本科,01/04/1964,退休,,,,,,,,,,,,,,,,,
147,张宝顺,男,汉族,01/02/1950,河北省,秦皇岛市,,硕士,01/04/1971,在职,,,,,,,,,,,,,,,,,
148,刘振华,男,汉族,01/05/1940,山东省,莱芜市,,本科,01/09/1974,退休,,,,,,,,,,,,,,,,,
149,于幼军,男,汉族,01/01/1953,江苏省,徐州市,丰县,博士,01/06/1976,降/辞/撤职,,否,违纪,利用职权为其亲属牟取巨额利润,是,05/09/2008,,否,,,,,,,,,
150,孟学农,男,汉族,01/08/1949,山东省,烟台市,蓬莱县,硕士,01/07/1972,降/辞/撤职,,否,责任事故,,是,01/09/2008,,否,,,,,,,,,
151,刘泽民,男,汉族,01/07/1944,山西省,吕梁市,临县,高中,01/12/1960,退休,,,,,,,,,,,,,,,,,
152,侯伍杰,男,汉族,01/09/1945,山西省,阳泉市,盂县,硕士,01/07/1966,立案查处,,是,贪污腐败,,否,09/12/2004,中纪委,是,受贿罪,人民币88万元,18/09/2006,北京市,,11年有期徒刑,否,,
153,金银焕,女,汉族,01/03/1952,山西省,太原市,阳曲县,本科,01/05/1971,死亡,,,,,,,,,,,,,,,,,
154,薛延忠,男,汉族,01/02/1954,山西省,吕梁市,孝义县,硕士,01/09/1981,在职,,,,,,,,,,,,,,,,,
155,任泽民,男,汉族,01/05/1954,贵州省,贵阳市,,本科,01/06/1978,在职,,,,,,,,,,,,,,,,,
156,薛军,男,汉族,01/11/1942,山西省,吕梁市,柳林县,本科,01/01/1966,退休,,,,,,,,,,,,,,,,,
157,范堆相,男,汉族,01/08/1946,山西省,晋城市,泽州县,硕士,01/12/1972,退休,,,,,,,,,,,,,,,,,
158,杜玉林,男,汉族,01/06/1950,山西省,忻州市,河曲县,硕士,01/07/1969,退休,,,,,,,,,,,,,,,,,
159,申联彬,男,汉族,01/03/1950,山西省,长治市,黎城县,硕士,01/04/1970,退休,,,,,,,,,,,,,,,,,
160,李政文,男,汉族,01/02/1952,山西省,运城市,垣曲县,硕士,01/01/1971,在职,,,,,,,,,,,,,,,,,
161,王显政,男,汉族,01/08/1946,辽宁省,阜新市,彰武县,本科,01/05/1982,退休,,,,,,,,,,,,,,,,,
162,陈宝根,男,汉族,01/07/1953,甘肃省,临夏回族自治州,,硕士,01/06/1974,在职,,,,,,,,,,,,,,,,,
163,崔林涛,男,汉族,01/04/1942,陕西省,宝鸡市,千阳县,专科,01/04/1966,退休,,,,,,,,,,,,,,,,,
164,冯煦初,男,汉族,01/11/1943,湖北省,武汉市,黄陂区,本科,,退休,,,,,,,,,,,,,,,,,
165,孙清云,男,汉族,01/10/1954,山东省,德州市,陵县,硕士,01/11/1971,降/辞/撤职,,否,违纪,留党察看2年，降为正处级非领导职务,是,13/11/2015,中纪委,否,,,,,,,,,
166,魏民洲,男,汉族,01/08/1956,陕西省,渭南市,蒲城县,硕士,01/07/1975,立案查处,,,违纪,,,25/05/2017,中纪委,,,,,,,,,,
167,董军,男,汉族,01/01/1956,陕西省,渭南市,韩城区,硕士,01/01/1974,在职,,,,,,,,,,,,,,,,,
168,李仲为,男,汉族,01/02/1956,陕西省,咸阳市,泾阳县,硕士,01/04/1982,在职,,,,,,,,,,,,,,,,,
169,魏增军,男,汉族,01/05/1960,陕西省,西安市,,硕士,01/09/1982,在职,,,,,,,,,,,,,,,,,
170,杨冠军,男,汉族,01/04/1963,河南省,许昌市,禹州县,博士,01/08/1992,在职,,,,,,,,,,,,,,,,,
171,郭青,男,汉族,01/10/1963,河北省,衡水市,故城县,本科,01/06/1984,在职,,,,,,,,,,,,,,,,,
172,方玮峰,男,汉族,01/06/1966,河南省,许昌市,禹州县,本科,01/06/1985,在职,,,,,,,,,,,,,,,,,
173,黄玮,女,汉族,01/08/1952,河南省,南阳市,社旗县,硕士,01/04/1985,在职,,,,,,,,,,,,,,,,,
