编码,名称,上级编码,上级名称,起始日期,终止日期,别名编码,别名名称,级别
140430,沁县,140400,长治市,31/12/2002,31/08/2013,140430,沁县,区县
140431,沁源县,140400,长治市,31/12/2002,31/08/2013,140431,沁源县,区县
140481,潞城市,140400,长治市,31/12/2002,31/08/2013,140481,潞城市,区县
140500,晋城市,140000,山西省,31/12/2002,31/08/2013,140500,晋城市,地级市（区）
140521,沁水县,140500,晋城市,31/12/2002,31/08/2013,140521,沁水县,区县
140522,阳城县,140500,晋城市,31/12/2002,31/08/2013,140522,阳城县,区县
140524,陵川县,140500,晋城市,31/12/2002,31/08/2013,140524,陵川县,区县
140525,泽州县,140500,晋城市,31/12/2002,31/08/2013,140525,泽州县,区县
140581,高平市,140500,晋城市,31/12/2002,31/08/2013,140581,高平市,区县
140600,朔州市,140000,山西省,31/12/2002,31/08/2013,140600,朔州市,地级市（区）
140602,朔城区,140600,朔州市,31/12/2002,31/08/2013,140602,朔城区,区县
140603,平鲁区,140600,朔州市,31/12/2002,31/08/2013,140603,平鲁区,区县
140621,山阴县,140600,朔州市,31/12/2002,31/08/2013,140621,山阴县,区县
140622,应县,140600,朔州市,31/12/2002,31/08/2013,140622,应县,区县
140623,右玉县,140600,朔州市,31/12/2002,31/08/2013,140623,右玉县,区县
140624,怀仁县,140600,朔州市,31/12/2002,31/08/2013,140624,怀仁县,区县
140700,晋中市,140000,山西省,31/12/2002,31/08/2013,140700,晋中市,地级市（区）
140702,榆次区,140700,晋中市,31/12/2002,31/08/2013,140702,榆次区,区县
140721,榆社县,140700,晋中市,31/12/2002,31/08/2013,140721,榆社县,区县
140722,左权县,140700,晋中市,31/12/2002,31/08/2013,140722,左权县,区县
140723,和顺县,140700,晋中市,31/12/2002,31/08/2013,140723,和顺县,区县
140724,昔阳县,140700,晋中市,31/12/2002,31/08/2013,140724,昔阳县,区县
140725,寿阳县,140700,晋中市,31/12/2002,31/08/2013,140725,寿阳县,区县
140726,太谷县,140700,晋中市,31/12/2002,31/08/2013,140726,太谷县,区县
140727,祁县,140700,晋中市,31/12/2002,31/08/2013,140727,祁县,区县
140728,平遥县,140700,晋中市,31/12/2002,31/08/2013,140728,平遥县,区县
140729,灵石县,140700,晋中市,31/12/2002,31/08/2013,140729,灵石县,区县
140781,介休市,140700,晋中市,31/12/2002,31/08/2013,140781,介休市,区县
140800,运城市,140000,山西省,31/12/2002,31/08/2013,140800,运城市,地级市（区）
140802,盐湖区,140800,运城市,31/12/2002,31/08/2013,140802,盐湖区,区县
140821,临猗县,140800,运城市,31/12/2002,31/08/2013,140821,临猗县,区县
140822,万荣县,140800,运城市,31/12/2002,31/08/2013,140822,万荣县,区县
140823,闻喜县,140800,运城市,31/12/2002,31/08/2013,140823,闻喜县,区县
140824,稷山县,140800,运城市,31/12/2002,31/08/2013,140824,稷山县,区县
140825,新绛县,140800,运城市,31/12/2002,31/08/2013,140825,新绛县,区县
140826,绛县,140800,运城市,31/12/2002,31/08/2013,140826,绛县,区县
140827,垣曲县,140800,运城市,31/12/2002,31/08/2013,140827,垣曲县,区县
140828,夏县,140800,运城市,31/12/2002,31/08/2013,140828,夏县,区县
140829,平陆县,140800,运城市,31/12/2002,31/08/2013,140829,平陆县,区县
140830,芮城县,140800,运城市,31/12/2002,31/08/2013,140830,芮城县,区县
140881,永济市,140800,运城市,31/12/2002,31/08/2013,140881,永济市,区县
140882,河津市,140800,运城市,31/12/2002,31/08/2013,140882,河津市,区县
140900,忻州市,140000,山西省,31/12/2002,31/08/2013,140900,忻州市,地级市（区）
140902,忻府区,140900,忻州市,31/12/2002,31/08/2013,140902,忻府区,区县
140921,定襄县,140900,忻州市,31/12/2002,31/08/2013,140921,定襄县,区县
140922,五台县,140900,忻州市,31/12/2002,31/08/2013,140922,五台县,区县
140923,代县,140900,忻州市,31/12/2002,31/08/2013,140923,代县,区县
140924,繁峙县,140900,忻州市,31/12/2002,31/08/2013,140924,繁峙县,区县
140925,宁武县,140900,忻州市,31/12/2002,31/08/2013,140925,宁武县,区县
140926,静乐县,140900,忻州市,31/12/2002,31/08/2013,140926,静乐县,区县
140927,神池县,140900,忻州市,31/12/2002,31/08/2013,140927,神池县,区县
140928,五寨县,140900,忻州市,31/12/2002,31/08/2013,140928,五寨县,区县
140929,岢岚县,140900,忻州市,31/12/2002,31/08/2013,140929,岢岚县,区县
140930,河曲县,140900,忻州市,31/12/2002,31/08/2013,140930,河曲县,区县
140931,保德县,140900,忻州市,31/12/2002,31/08/2013,140931,保德县,区县
140932,偏关县,140900,忻州市,31/12/2002,31/08/2013,140932,偏关县,区县
140981,原平市,140900,忻州市,31/12/2002,31/08/2013,140981,原平市,区县
141000,临汾市,140000,山西省,31/12/2002,31/08/2013,141000,临汾市,地级市（区）
141002,尧都区,141000,临汾市,31/12/2002,31/08/2013,141002,尧都区,区县
141021,曲沃县,141000,临汾市,31/12/2002,31/08/2013,141021,曲沃县,区县
141022,翼城县,141000,临汾市,31/12/2002,31/08/2013,141022,翼城县,区县
